Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.C4.A0F1.01,0,0.009959695662505293,0.1682272825186545,0,0,0.10725824456214997,0,0.13306597477487833,0,0,0.050202637882415496,0.023545138167979273,0.03750334462653437,0.07090475609276571,0.10494345565350519,0.0837066837467652,0.08828046548653729,0.07651841170346663,0.034238094569495475,0,0,0.01164581455234735,0,0.2569091822646243,0.9746231570001426
TCGA.DK.AA6S.01,0,0.03463830239201201,0.08242987627144678,0.08146133243429976,0,0.1204970054416814,0.04253478668489387,0.1186939164856899,0.04884564166049136,0,0.023007599043846385,0.004454587163377247,0.011459033071035404,0.06674033852437118,0.11918792492054951,0.1517729271693196,0.027717008082166865,0.022640676518159458,0.043919044136659265,0,0,0,0,0.3513906341163599,0.9374327685937545
TCGA.GU.A763.01,0,0.0024270836554043614,0.10504001380638926,0.0672039987475867,0,0.10623716272726741,0,0.32997558871988963,0,0,0,0.0755244540507207,0.020299329414060322,0,0.0008,0.13599956106253472,0.09213650254609243,0.06007877859081109,0,0.004315473330874565,0,0,0.025,0.14140261421309952,1.034715793233427
TCGA.XF.A9T4.01,0,0,0.12946997356689913,0.013845376390324043,0,0.15103009661590697,0,0.1949258555259831,0,0,0,0.06825389425386942,0.025431494268849844,0.07276608612760468,0.11502285915760209,0.1031724458355542,0.03619386330220069,0.041766150340141014,0.03210632436102883,0,0,0.01601558025403596,0.001,0.2322651080512814,0.9894610032229664
TCGA.FD.A5C1.01,0,0.015015105818327644,0.049473979538012726,0.15560673770695027,0,0.11714821237982449,0.012940530239058484,0.11839958026960166,0.003825484894631893,0,0.04366682855198566,0.005655918053795523,0.04870316355697406,0.06793480872899481,0.0733897781794639,0.18029211364201084,0.01892217671834904,0.070528344019969,0,0,0,0.01846308479506042,0,0.40470240221063225,0.9140180890819779
TCGA.K4.AAQO.01,0.09575580708999545,0.0424763888136397,0.07517602014067253,0.03559263210403732,0,0.02083148860498628,0,0.10170068093766334,0.038910326274352196,0,0.011243012374415766,0,0.05546561249148031,0,0.11033214003319104,0.2148709558470562,0.03655163649095231,0.007334242628611658,0.15375905616894583,0,0,0,0,0.3058004466606916,0.955097570948431
TCGA.G2.AA3B.01,0.08177794493713648,0,0.27835880318059736,0,0,0.006889933175055788,0,0.14540873022241643,0.0610329784530676,0.09409119776273475,0.03953692896409495,0.02402347807545663,0,0.04071718953618169,0.0640121822752029,0.13544123689811413,0,0.028709396519941244,0,0,0,0,0.001,0.22255282227556242,0.9859360097251928
TCGA.FT.A61P.01,0,0.02929250286173704,0.04174050519212333,0.07894335421552887,0,0.088384913125738,0.0024906350470574865,0.1438315290175522,0,0,0.0402895955143526,0.031165119239447,0.023183004644097487,0.14125124840061268,0.10006792333720112,0.18793284257311735,0,0.026320850702874314,0.06510597612856055,0,0,0,0,0.3574114530193248,0.9360273338260835
TCGA.G2.A2EF.01,0.0060608979799732406,0,0.07422127429283135,0.11654367264663171,0,0.061381014437466526,0.030247386469660048,0.1297288568886081,0,0,0.051037798044590105,0.07123672539784087,0.012644225336455312,0.07020297887497913,0.08624375406573966,0.18211584286156096,0.041897530149078224,0.05842845162422372,0.008009590930361079,0,0,0,0,0.40100999377462787,0.9161812179806218
TCGA.DK.A3IK.01,0.1170953009496207,0.0403508502553715,0.18036598209360702,0.09877939946148337,0,0.042180919875274336,0,0.13171685162473504,0.032703677857633826,0,0.010833181577404271,0.013419302930240282,0.04181335033429383,0.11515050792752628,0.03824561750924705,0.028805506374735588,0,0.0603778344317066,0.04816171679712024,0,0,0,0.001,0.19169979847826196,0.9965479272129518
TCGA.BT.A3PH.01,0.06897376375577656,0,0.20052819163749147,0.03574148400941919,0,0.1836459538729318,0,0.03997714416827254,0,0,0.029434630981344162,0,0,0.0738911807154996,0,0.19559473281732084,0,0.10790622784068904,0,0.0404089895973129,0,0.02389770060394186,0.169,0.09781109757998352,1.0301281549209276
TCGA.C4.A0F7.01,0,0,0,0,0.01753408803153341,0,0,0.1996830699901517,0,0,0.0886338728532941,0,0.016425682187805796,0.01690431688748519,0,0.21648950650144858,0.009032511727202696,0.3189007211355922,0.08948017000563875,0,0,0.02691606067984756,0.068,0.12165221022727123,1.054492124756757
TCGA.ZF.A9R3.01,0,0.06034565561523656,0.13395406456944506,0,0,0.21075391855144712,0,0.09877894632466855,0.10030308074435058,0,0,0.022835727774366918,0.03846518753861142,0.01700608265026864,0.01126537670433897,0.06031015250259781,0.09514031931213338,0.12289006871841046,0,0.02795141899412455,0,0,0.006,0.16821168620868068,1.0089672929608289
TCGA.GU.A762.01,0.010042348489131587,0,0.05049646723703926,0.19768504697584666,0,0.014051699436651627,0.048418176315983205,0.11367831015527957,0.03508150683716632,0,0.047564675150335585,0.0382344085623646,0.07776333000086781,0.06570810292341381,0.06769777789479853,0.15536440005708146,0.0057572013711765565,0.045393985484815595,0.027062563108047825,0,0,0,0,0.47269446650545227,0.8814238964619101
TCGA.ZF.AA58.01,0,0.045754620580310004,0.021716466765475277,0.11246880779985512,0,0.07653417170175282,0,0.14670829965759205,0.004675150072905054,0,0.07791159022466322,0.014559554412394506,0.01827430913421858,0.12206819097526378,0.07002240709062157,0.2292701229745504,0,0.040101388687995745,0,0.0004,0,0.01951272167874099,0,0.48020101861117354,0.8768998658587024
TCGA.DK.AA6P.01,0.07732927934410885,0,0.14079450882451908,0.02986620069941435,0,0.16618548211236597,0,0.06707969817331516,0.06736824885207782,0,0.05372153515393698,0.06284555532751059,0.041512908726057104,0.09094544382660275,0,0.04974330313884399,0.029324622910839208,0.050531974317426176,0.07275123859298202,0,0,0,0.672,0.037236794287687364,1.0564123456926682
TCGA.FD.A3SJ.01,0.16718317028227606,0,0.12443601532727273,0,0,0.061288268259673644,0,0.17586578311708406,0,0,0,0.038856617133356884,0.04444657962040975,0.044095429145883165,0.04457331647398706,0.1635331044316817,0.019410264877644426,0.015749702399304424,0.10056174893142601,0,0,0,0.001,0.2150036820377988,0.987450825733535
TCGA.GC.A3I6.01,0,0.0010288470816420235,0.09382151374975158,0,0,0.06658821010090678,0,0.17708283950599019,0.005528398163436574,0,0.06055938602913313,0.07264096008486592,0,0.06829375523101339,0.049033312920692136,0.16882548420784077,0.01070453816573082,0.16031713005143958,0.06310197533018208,0,0,0.0024736493773751186,0,0.30811664678202727,0.9578582821173336
TCGA.BT.A3PK.01,0,0.009398762475236357,0.047121991009823436,0.008094947685472342,0,0.13675255258797403,0,0.10238141306871218,0.09816887429821067,0,0.05946704259832588,0,0.004784422071691913,0.07437002002303575,0.040365809602217,0.1673709446480205,0,0.11363094017223731,0,0.03984996721949039,0,0.09824231253955233,0,0.31991995485659763,0.9522718551746414
TCGA.UY.A8OC.01,0,0.01671269954612584,0.09843488907562369,0,0,0.11633953015144514,0,0.16049804475077,0.005010521635546468,0,0,0.0610491885250245,0.030915221348561003,0.16315384726024315,0.03349632874352529,0.17143378097822867,0.11216452652187811,0.01716867162297181,0.013622749840056361,0,0,0,0,0.24573424316164022,0.9830098303184479
TCGA.GU.A42P.01,0.13642051908476677,0,0.10381615052409458,0,0.09953328965429077,0.006622887013423517,0,0.11424191495610618,0.09280523316823289,0.01682306910895216,0.12020245747256339,0,0.03938995488696876,0,0,0.07323152487169676,0,0.1094819878804027,0,0.008580730798896817,0.045555058887727,0.0332952216918777,0.726,0.02878426432152477,1.0657098958121782
TCGA.FD.A3B7.01,0,0.020586776448729943,0.06560401291496583,0.2254324930019376,0,0.0787976993634052,0.08256006003099293,0.06005514570005906,0.02670258238006634,0,0.002264489435667536,0.010491722535186057,0.013489502774690285,0.0780205390806381,0.06166790912094547,0.17456255408585572,0,0.04034853698702538,0.035433739128422306,0,0,0.023982237011412236,0,0.4597081322480305,0.888417012989495
