Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.A8.A092.01,0.0017056604679358807,0,0.004991547005699824,0,0,0.2579393621508795,0,0.07171921602481153,0.05922764741756952,0,0.03189540360312431,0.02379364236246001,0.036500889427314005,0.06359945477051471,0.022553235702884082,0.26283922633704027,0,0.007325758605984259,0.15072624653731423,0,0.005182709586467907,0,0.274,0.06393040577410114,1.0600325474493315
TCGA.A7.A0CE.11,0.009894802736617145,0,0.07478262030577917,0.07416485520327422,0,0.10317490568536987,0,0.05063419824652991,0.0005,0,0.0267290857663431,0.025377743586747513,0.053575156877382527,0,0.027723669894851945,0.4004829175527109,0.0023652571097322514,0,0.15055058520808737,0,0,0,0.066,0.13719784244432248,1.0295666944058663
TCGA.OL.A5D7.01,0.06089687762888382,0.02567517104705301,0.01864782869070238,0.15833199114931992,0,0.06174063749470738,0.046045712449944605,0.22025238948572312,0.024680763515173232,0,0.03944150851384499,0,0.0039581656391362895,0.08731240405307675,0.12169702482509968,0.11077502852989454,0,0.00808077191607766,0.012463725061362514,0,0,0,0.017,0.22520228944632315,1.0029625275948955
TCGA.D8.A1JK.01,0.03936009638603905,0,0.03763365142580543,0.039468996514202936,0,0.10833280400737663,0.01549065502152586,0.07718795275404176,0.03913924351657625,0,0.02971612319186817,0.006886353626723804,0,0.2747290165495356,0.13734094485987314,0.16513489706379425,0,0,0.02957926508263716,0,0,0,0.118,0.10207181252221612,1.0670046224070184
TCGA.BH.A0AY.11,0.07836238847806262,0,0.23056158024474066,0.04990941781169747,0,0.13641487035331934,0,0.05583666733416131,0,0,0,0.046624574199504366,0.01752546274910398,0,0.01176002556927056,0.28315289560683105,0,0.004245347834123639,0.08560676981918502,0,0,0,0.252,0.06661527704092544,1.0382663242065757
TCGA.E2.A10C.01,0.05880018547401699,0,0.01526283341265256,0.11659821168594249,0,0.1255807460552711,0,0.08668676674821936,0.07456886147410201,0,0.012204590319323923,0,0,0.25254696186824827,0.05405753293116358,0.1621986308319524,0,0,0.041494679199107334,0,0,0,0.108,0.10769563639436439,1.0547073456645024
TCGA.BH.A0C7.01,0.13014780440442003,0,0.04697400737825555,0.015715210104210668,0,0.21926906298284482,0.001030715375927976,0.037615592786374184,0,0,0.019016244808191037,0,0,0.11372926560365851,0.07989818756553665,0.21402960470827553,0,0.011389092120330634,0.11118521216197441,0,0,0,0.748,-0.003,1.0800897412708717
TCGA.AQ.A54N.01,0.014810929677767024,0,0.17334631497058253,0.1292696744473546,0,0.06461092507226052,0,0.16214500902841616,0,0,0,0.020517230752428454,0.012439386107332253,0,0.07212591276933324,0.3200293575445305,0,0.015467176749827592,0.015238082880167123,0,0,0,0.858,-0.0169,1.083557965037069
TCGA.PE.A5DE.01,0.07150478322180498,0,0.023736283673906927,0.24309222825693502,0,0.0684213192446115,0.0001,0.16406835222916988,0.039379486335140816,0,0.0025623449398063263,0.01500837012759759,0.02527641476369221,0.0887139520853707,0.15025889927592972,0.06258551325913171,0.009586898823382822,0,0.03572653645618851,0,0,0,0.002,0.39944697324755774,0.9204824515786818
TCGA.A8.A06N.01,0.010334083019346895,0,0.11844003418379613,0,0,0.16951833938959399,0,0.0818657935918594,0.0018369489881187176,0.002245511046464794,0,0.03434027065846981,0,0.027011887943447308,0.02688755487873277,0.44378419264303964,0,0,0.0837353836571305,0,0,0,0.746,-0.0029,1.0883582599374606
TCGA.D8.A1XU.01,0.10447732475788118,0,0.0731631477234764,0.013566041620389782,0,0.09206113208783649,0,0.022105050705676622,0.027297434083669615,0,0.02076754293611338,0,0.022177936207096842,0,0.0646911197181014,0.37834600514604355,0.09095586485200947,0,0.08738100046270841,0,0,0.0030103996989968244,0.32,0.05489088360001618,1.0602134042987617
TCGA.AR.A0TV.01,0.045315601005904614,0,0.014180404963280118,0.08212276692975207,0,0.1318694268616095,0.021951974008339533,0.09887633026815987,0.021068856187631775,0,0.03154725979547813,0,0.014012089298405837,0.26459458824421467,0.08254278372164751,0.18242039434435997,0,0,0.009497524371216296,0,0,0,0.076,0.13236481235631098,1.0484094263454677
TCGA.D8.A1XV.01,0,0.009847611313265987,0.014573614968107945,0,0,0.24940974293954352,0.0009,0.004590795790329767,0.06287883376062013,0,0.1099818990520721,0,0.018495390001099777,0.1327698056211076,0.008848856154972324,0.0642401650612863,0.01358159487917147,0,0.3098388164929407,0,0,0,0.717,0.0001,1.1018259609784733
TCGA.AN.A03Y.01,0.06410384322621406,0,0.01111001722028688,0.21225469505974093,0,0.013821141133201032,0,0.15520840879458012,0.05103149619346515,0,0.01319335565464625,0,0,0.0373294410899148,0.10256779420462865,0.24824081873041726,0.0033633344406678103,0,0.08777565425223698,0,0,0,0.282,0.06270666330722864,1.0659698653088714
TCGA.AN.A04D.01,0.14179275953326134,0,0.0956413250688835,0.03906189871129332,0,0,0,0.11131981032900864,0.010685999744613277,0,0.009141249526052303,0.013317883574438898,0.0016268540787477423,0.15657698479486848,0.04396388281825869,0.3508982049469057,0,0,0.025973146873668078,0,0,0,0.785,-0.0077,1.097338790636805
TCGA.A8.A08I.01,0.004960660339495676,0,0,0.11235996085506787,0,0,0.004131477032819937,0.03339213697551896,0.05963093622489991,0,0,0.017190194685945993,0.0038303112046370134,0.4961749458293808,0.11131412258816394,0.09739512232941608,0,0,0.05962013193465378,0,0,0,0.001,0.44376571090621225,0.9099309721209052
TCGA.E9.A1N3.01,0,0.06071156061283092,0.013625980670515745,0.11159646270542882,0,0.29398519047606203,0,0.053082740191466055,0.06560664106854738,0,0.024713604216835234,0,0.05985398198551252,0.07653045477263865,0.027659741435803714,0.07296823032504494,0.008900248340255296,0,0.1307651631990587,0,0,0,0.985,-0.0429,1.1079738780673014
TCGA.A7.A0CH.11,0.1322799672509216,0.014598660222785075,0.05495086974818026,0.02928540862148332,0,0.02369801892683818,0,0.07465358936530705,0.027521101224341874,0,0.014843073184848931,0.016710674435553494,0.011123715913809758,0.16979628621615242,0.025698182989025483,0.3491803179410676,0,0,0.05566013395968503,0,0,0,0.024,0.19521674366936287,1.0132087319165786
TCGA.BH.A0B3.01,0.0338349738512816,0,0.17899096105660253,0.05945889709260962,0,0.07533580943174428,0,0.08262964177080606,0.05217042113523896,0,0.04183392363530437,0,0.0034914571025506476,0.09666759005126338,0.1781834798737092,0.1760265086152154,0,0,0.021376336383673967,0,0,0,0.005,0.29410839424791435,0.9665074909937355
TCGA.C8.A1HE.01,0.10576229677476855,0,0.030297370622048337,0.025461914114358723,0,0.16194767897849124,0,0.06323874485344307,0,0,0.021842914088896923,0,0.03544959658709991,0,0.06792238115712276,0.4413776403735954,0.006564958974765156,0,0.024983180035445023,0,0,0.015151323439964916,0.773,-0.0066,1.0972873819812974
TCGA.E9.A2JT.01,0.274473406673293,0.17265174467143066,0,0.16170135071108646,0,0.15158257472086073,0.012901693817699886,0.05199347298191258,0.009282298761032664,0,0.010559357349873677,0,0.001934154606231689,0.03758082940329515,0.044555210649597374,0.0559891357847359,0,0.00920696262738463,0.005587807241565641,0,0,0,0.001,0.5231086626685558,0.8515006715102152
TCGA.A2.A0CW.01,0.08171400378365269,0,0.01793029008173813,0.020538630661109492,0,0.166427216290986,0,0.11428428854046233,0.041256329968894875,0,0.041196134191993285,0,0.0019381679586081327,0.1300862907815795,0.08883576104410566,0.1986048982066536,0,0.031368050311592836,0.06581993817862339,0,0,0,0.046,0.1543788920976495,1.0233346937877479
TCGA.EW.A1OZ.01,0.059823222893550576,0,0.040091320240365304,0.022726911997735733,0,0.09697034639491951,0.003397487183270865,0.033145763956109534,0.03212857451729182,0,0.010318727633561299,0,0,0.27719866849965785,0.054991995442479506,0.3042096199363212,0,0,0.06499736130473686,0,0,0,0.024,0.19812385947867014,1.0245789974402868
TCGA.A1.A0SQ.01,0.152269084766334,0,0.08679816192882338,0.08223789809282886,0,0.14558442642685102,0,0.04544708117301052,0,0,0,0.017581237937967502,0.03323438669426404,0,0.035208561029148815,0.3009725130362446,0,0,0.10066664891452723,0,0,0,0.884,-0.0203,1.079805604468925
TCGA.LL.A440.01,0.03371414570277292,0,0,0.011361121567112512,0,0.08709971002532667,0,0.027771221877419792,0.012666592016179295,0,0.02325724659868549,0,0,0.435700466830125,0.017071277366529664,0.25728782260322336,0.0012587304109590478,0,0.0928116650016664,0,0,0,0.003,0.3860363185936013,0.9454721716460757
TCGA.C8.A1HM.01,0.042474510497044426,0,0.02221272608361952,0.1502908871084563,0,0.06237730214381008,0.09918708281118532,0.13532810441570622,0.0003,0,0.009976316609442249,0.06060578148411852,0.0017645469962022542,0.010386467386142234,0.14594376730340022,0.16657338944897915,0,0.0009,0.09170423402821835,0,0,0,0.003,0.3610315048240763,0.9372080857009469
TCGA.A7.A6VX.01,0.0001,0.007385677796188149,0,0,0,0.26136052968306867,0,0.06580921748816708,0.07998225239173558,0,0.05726908464599783,0.0048807336147394164,0.009963298420428417,0.3836448316032752,0.010375650074001447,0.02785339707085438,0,0,0.09141058591305529,0,0,0,0.1,0.1130073700641482,1.069430044205487
TCGA.EW.A3U0.01,0.06755249396229825,0,0.009225433998618563,0.12078403938886875,0,0.04195988128489378,0.008214525327661258,0.15138997211641303,0.0640011613516218,0,0.03108011153707201,0.01174759383338934,0.045750099443641355,0.15901811228982213,0.11467446286005085,0.1231711676495491,0,0,0.05143094495609983,0,0,0,0.003,0.37959912161796633,0.9263063547221961
TCGA.BH.A1EO.01,0.04759766536096288,0,0.001332887265891228,0,0,0.18686898426809453,0,0.028819814682321206,0.0008,0.009870027594624676,0.0037969419407923952,0,0,0.19383606947165338,0.0801347143915719,0.28670772170904757,0,0,0.16023506819429043,0,0,0,0.065,0.13946186796720814,1.0426052942939426
TCGA.B6.A401.01,0.02004137901478607,0.028799108997274735,0.0036053444645904337,0,0,0,0,0.2625452340664906,0.006571827590374489,0,0.04960307550562046,0,0,0.5195728925488602,0,0.04774159867224965,0,0.029418083229338154,0.03210145591041524,0,0,0,0,0.7294314197950502,0.6982069273791413
TCGA.BH.A0B9.01,0.01611021588574895,0.021537650037037566,0,0.12925885025671704,0,0.14815763114444966,0.01643080168501032,0.13876882622185877,0.0715789798126726,0,0.016465466714723206,0,0.009538524394169152,0.12055627083045166,0.17698909633570986,0.0852929159698081,0.023597372199313404,0,0.025717398512329778,0,0,0,0.003,0.37201559824354613,0.936006513319269
TCGA.D8.A1XG.01,0.05191086233154192,0,0,0,0.004110572031921196,0.1263283166955158,0,0.05543743418561224,0.016372891668586766,0,0.07491967963263745,0.005705948885598861,0.01958284104636929,0,0.016848000738574453,0.45033482550548903,0.06304719861426104,0,0.11511014871024605,0,0,0.0003,0.242,0.068428812241743,1.0663285405592633
TCGA.E9.A1R3.01,0.040449741108789475,0,0.0007,0,0,0.12501256933122834,0,0.03936099149747174,0.003607288768185196,0,0.021361162637876494,0,0,0.16313134096599494,0.03440645491748576,0.39215837260139585,0.05787391909969553,0.055396598222667716,0.06252246778739949,0,0,0.0040641647830504226,0.034,0.17584824083245984,1.0334468786019877
TCGA.E2.A1BC.01,0.09834179514832632,0,0.07289328005751623,0,0,0.2862444393053342,0,0.10260951081276286,0,0,0,0.062239838263117166,0.011333480114680649,0.07322382244882208,0.050402043404855205,0.18664941012278827,0.016104834029624086,0,0.03995754629217293,0,0,0,0.729,-0.0012,1.0809930362417768
TCGA.A8.A08Z.01,0.03448307760556597,0,0,0.015183998706229735,0,0.14058126197728943,0,0.016236843787969815,0.01578413878429586,0,0.020853056687025917,0,0.01226312629296122,0.24416952442951717,0.03825630864968487,0.355473032166062,0,0,0.10671563091339792,0,0,0,0.011,0.25228824741527733,1.0002833671673892
TCGA.BH.A6R9.01,0.005235868176895289,0,0,0.017741239122863434,0,0.058165936554938596,0.0007,0.038683416091034345,0.03821405484702191,0,0.021784843379504593,0,0,0.26553478805249703,0.08986678133819753,0.35123290686197295,0.026538128594363795,0,0.08625290920300997,0,0,0,0.001,0.4939821435485539,0.869908359656101
TCGA.EW.A1P0.01,0.0789527518474089,0,0.022241079939744238,0.030228041895913542,0,0.20725794275759418,0.006393244229522462,0.045399810678975826,0.027952853831222018,0,0.015045684458043211,0,0,0.21202759861434634,0.06857441521046026,0.2634804333558033,0,0,0.022446143180965765,0,0,0,0.088,0.12083093321352424,1.0494687128987792
TCGA.A8.A06O.01,0.08834472504493858,0,0.024408448421200764,0.05395882679033271,0,0.11422339549161839,0,0.0475942774763941,0.034809469365075923,0,0,0.009428833234383996,0.0032203968264015808,0.12183961699506249,0.060242417247965675,0.39208408426187447,0.010488348353375162,0,0.03935716049137616,0,0,0,0.045,0.15575526114505492,1.0331129405096966
