Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.IC.A6RE.01,0.08609658123628486,0.01996747624752075,0,0.07743795545635099,0,0.18523091525631089,0,0.07055487037080237,0.11225560307776754,0,0,0.024445036089876963,0,0.013788120114418335,0.02208756445967,0.11389955844322472,0,0.06610605734315154,0.17512854859895446,0.01735334249934344,0,0.015648370806323076,0.064,0.13942325773492426,1.0271320898535057
TCGA.2H.A9GO.01,0,0.08043991557675863,0,0,0,0.2503574630969673,0,0.09270739312267197,0.10666612663978085,0,0,0.02130259496156995,0,0.04746511165366862,0,0.10748307532991158,0,0.13360327368346459,0,0.09444140958272197,0,0.06553363635248448,0.392,0.02699347325414998,1.076208823137847
TCGA.VR.A8EZ.01,0,0,0.03456410473958541,0.20193515404944565,0,0,0,0.07912775120508891,0.0652664486189074,0,0,0.0924941823559969,0.005718132232814459,0.03664966966333486,0.18097007644897853,0.21223230729535922,0.0005,0,0.010315471496024688,0.08020714589023935,0,0,0.004,0.3335536221302723,0.9595320164650394
TCGA.LN.A49Y.01,0.0308961724987927,0,0.09369037510027092,0.07829173541389485,0,0.0966445987583712,0,0.0678897361623776,0.09863920584322645,0,0,0.10151514422427918,0.009237741967888805,0.06449991292531639,0.0793416929041394,0.18654672434697767,0.012415409534792903,0.04345390914749936,0.03693764117217244,0,0,0,0.445,0.019536512159855277,1.0783372850754165
TCGA.Q9.A6FW.01,0.04550064212366644,0.038747758526427215,0,0.06710057959311558,0,0.1429387325880047,0,0.09349257013051855,0.05758779176330597,0,0,0.021095519962302422,0,0.11069158768485207,0.01652160779359935,0.12664062394961334,0,0.06262300564367654,0.046418004667668954,0.15380647085351967,0,0.016835104719729224,0.087,0.11907824634212005,1.0405452213181936
TCGA.LN.A4MQ.01,0,0,0.066817844947685,0.0025764484058529795,0,0.10794395938861005,0,0.028807530467291353,0.0678366565411246,0,0,0.038706653386743416,0.010206360082683564,0,0.07669380809170812,0.2113030096577137,0.13595975707700603,0.03766863513817548,0.20708426827256757,0.008395068542838141,0,0,0.931,-0.0289,1.085627978162548
TCGA.R6.A6DQ.01,0.007553145029318332,0,0.020918193170916543,0.0758226190839145,0,0.21070917700883854,0,0.0958425143181121,0.04587773332378942,0,0.025691489254938058,0,0.03361007617372026,0.04531329588607214,0.12287269748566632,0.008724578917675514,0,0.09214061965256608,0,0.19001198087616095,0,0.02491187981831131,0.055,0.15323683962169085,1.043588885615342
TCGA.L5.A8NF.01,0.030966576510693105,0,0.09232765923653809,0,0,0.2690414711697402,0,0.011743022695091376,0.13332754861029797,0,0,0.028524583470118655,0,0.19757001313579106,0.05350229902492629,0.0971965732638757,0,0.001337003328155608,0,0.056430820110253584,0,0.028032429444518343,0.284,0.045427376237912945,1.070832973593513
TCGA.L5.A4OO.11,0.048865309208606496,0,0.12106680710751089,0.10231779675704757,0,0.12067795263731985,0,0,0.009209606387350888,0,0,0.10230717708164351,0.02433197445534107,0,0.013557696137259618,0.14983324958616262,0,0,0.25684806482559114,0.05098436581616634,0,0,0.12,0.0970513056715073,1.0546831541905655
TCGA.VR.AA7I.01,0.0003,0,0.008538818249808382,0.21980111443590034,0,0,0.08057296944354972,0.10384525654732239,0.0323901829716029,0,0,0.06854876553251721,0,0.036404600587144835,0.19864359169772966,0.1733333984310558,0.02158383090831398,0.034885677571148306,0.021116075053441,0,0,0,0.001,0.47823966080317887,0.8788617728412143
TCGA.2H.A9GI.01,0,0,0.08149527083421805,0.03003055807930192,0,0.37872729974109,0,0.030292571098542657,0.11673312510415167,0,0.06995660685146105,0,0.004795616273609744,0.03326313370097652,0,0.054284732914933284,0,0.07894236059936866,0,0.12147872480234659,0,0,0.195,0.06650337397475316,1.0729660888589678
