Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.CN.A63U.01,0,0.032456022639531026,0.23407246176663504,0.031021594375577482,0,0.04145277945859591,0,0.2426168310188461,0,0,0.08055001229467182,0,0,0.05347233601406413,0.07432000501159591,0.04797214767637173,0,0.02557431746583074,0.07628441879282863,0.052582906018290805,0,0.007624167467160665,0.082,0.11515216833073702,1.027554709852146
TCGA.BA.7269.01,0.002364774071937026,0,0.0445579722377049,0.07892443581659328,0,0.06441833244874465,0.0005,0.14696294856842418,0.04944215830774848,0,0.0027232702906537943,0.007880508854361458,0.03159759479946249,0.36653118209400953,0.004312600376771871,0.1396490148710504,0,0.03626977581869469,0.0013114656649407812,0.022537350742885938,0,0,0,0.47472946426075624,0.8807246666695505
TCGA.HD.8635.01,0,0.015061531090891445,0.03551981863016014,0,0,0.17733715955107882,0,0.04619472896528568,0.021884683989785197,0,0.05395478821722575,0.013835185511782361,0.032416451371878645,0.27135739091508876,0.08854918422628034,0.16914579847085406,0,0.030884088566671138,0.04385919049301765,0,0,0,0.031,0.18080389210511136,1.0252087630806508
TCGA.UF.A7JS.01,0,0.004660593131250748,0.00308670098808362,0.046543892451159016,0,0.03811955553445108,0.01267756085629583,0.05225984285335969,0.11460638555353078,0,0.0639868302006457,0.026895484094506816,0,0.354900394826124,0.016246734302119908,0.24642320470981935,0,0.009671163387629947,0,0,0,0.009921657111023519,0.01,0.24853284479617763,1.0121616514477476
TCGA.CN.6988.01,0,0.010639148304999853,0.01658590597174536,0.05005110410283813,0,0.12679625733276711,0,0.21208349538876886,0.03447215292612623,0,0,0.003996920279625338,0.04203509787771206,0.22714698266210517,0,0.0565290960316771,0,0.12311307035519992,0,0.07253139780815743,0.0004,0.023611956819731487,0.66,0.0004,1.099607038977914
TCGA.BB.7863.01,0,0,0,0,0,0.030918680469373423,0,0.07468309828995671,0.08084032427625641,0,0.09015722543510377,0,0,0.4376080255318811,0.0315279907695644,0.14301142979168632,0,0.0406661094113777,0,0.06882476594943507,0,0.0017623500753651319,0.091,0.10704117169736009,1.0986062271733101
TCGA.CV.7428.01,0.010458499783097507,0,0.06675241528200603,0.08530650438967843,0,0,0,0.09170678786778473,0.03410818168425235,0,0.014331707372964677,0.0034905777068325156,0,0.30752128763794817,0.2076267983177213,0.14769468466531988,0,0,0.030076421906820215,0,0.0009,0,0.002,0.4348562799088122,0.9079737427431304
TCGA.CV.A6K1.01,0,0.021777616510767595,0.05887153691812104,0.11123424067714356,0,0,0,0.10161971245888606,0.054910614368827035,0,0,0.08469164403600588,0.006438240389840244,0.2668457046760212,0.04702230233006994,0.15246609361839666,0,0.07259429045351357,0.01612951236617913,0,0.005398491196228111,0,0.073,0.12486370242361815,1.0503841915719243
TCGA.CN.4723.01,0,0,0.045657033140513434,0.01984129783496874,0,0.1645402688587814,0,0.08035185208284429,0,0,0.09170128667406012,0,0.01648052623252326,0.22945304849832932,0.14292689970260541,0.15281130394334277,0.0001,0.017463369591806655,0.038722995227005966,0,0,0,0.004,0.35995447603540154,0.9401466165249047
TCGA.CR.7377.01,0.03249393052245353,0,0.015600995722574583,0.05002208045220739,0,0.24711663286211133,0,0.05728184645097248,0.025833586426162736,0,0.054832038300909956,0,0,0.16165524831093134,0.15503231807127607,0.15174580984716154,0,0,0.048385513033239125,0,0,0,0.004,0.3871489229847514,0.9255253039035718
