Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.FV.A495.01,0.009579023929959922,0.017303684346024,0,0.12188168830014263,0,0.21063537353594713,0,0.03473706256463723,0.1048849050016103,0,0,0.0385637903351383,0.0597140967298823,0.05367366422007892,0.08518915468188437,0.16946102422892106,0.0058981421848130055,0,0.08847838994096077,0,0,0,0.343,0.031365239341154205,1.0784685424063505
TCGA.G3.A3CH.11,0.07554008035983492,0,0.01122786279457346,0.21686372209572985,0,0.04029740181520853,0,0.04395941882430913,0.04082758155120059,0.022887507742316873,0.054905102642653254,0,0.0020265700023987436,0.0031796787810889227,0.09581655683017432,0.36547926173879036,0,0,0.014689380412411742,0,0,0.012299874409309308,0.449,0.017307135054237668,1.0955794861941555
TCGA.KR.A7K7.01,0.009402526629450694,0,0.042977809110225466,0.39091453802626513,0,0,0,0.10606702077376151,0.05743207199606635,0,0,0,0.007958400212327056,0.2177252148527692,0.03226338751079736,0.068852201247779,0,0,0.06640682964055827,0,0,0,0.321,0.03478522352014172,1.0973691799739984
TCGA.BC.A3KF.01,0.15176602726193275,0,0.025027228485330396,0.0025076986431978657,0,0.24707039649324228,0,0.045524747304286656,0.05542334541545816,0,0,0.026286744114190866,0,0,0.06676803023756762,0.3079462119229807,0,0,0.06384301212211148,0,0,0.007836557999701253,0.85,-0.022,1.0927354633279132
TCGA.DD.A4NV.01,0.0013097921739709062,0.002460534828954914,0,0,0,0.2768390721955893,0,0.003202613362507863,0.05742801283125221,0,0.09020197687008076,0.016314361774862736,0.10040597230606892,0.1090937087215571,0.04094632238605814,0.10274440719601868,0.0030118912383530136,0,0.18329517846691817,0,0,0.012746155647807306,0.48,0.012535246448216382,1.080648277100005
TCGA.CC.A1HT.01,0.0030568342951695555,0,0.007008446527797586,0.030384140421802538,0,0.11604541258426765,0,0.070656015345893,0.007106093222968455,0,0,0.06375671727568162,0.024886051762259543,0.10786865609032223,0.16886353124527703,0.32160809621056263,0.0036092972604947096,0,0.07515070775750345,0,0,0,0.011,0.3230760346051162,0.9622251506048981
TCGA.DD.AAD1.01,0.08836498288616067,0.042161779018992075,0,0.13742693773374912,0,0.27606475704266675,0,0.031445019000265716,0.019001848336598265,0,0.1077801952057669,0,0.03357013606836605,0.13083424705431373,0.060719885358109876,0.05537616867517019,0,0,0.017254043619840686,0,0,0,0.163,0.07222978334293055,1.076395289521975
TCGA.FV.A3R2.11,0.06904379816167769,0,0,0.1431432099162033,0,0.10723234701567359,0,0.046227622888003035,0.002913701618259833,0.025537906642724956,0,0.01192305049964561,0.03605699912783729,0.03896853897503193,0.05107942165522977,0.4392922559391858,0,0,0,0.02346550903409279,0,0.00511563852643438,0.32,0.03482936639372957,1.0900284579625492
TCGA.CC.A3MA.01,0.02285281902162816,0,0,0.048138182841742864,0,0.06393140978045944,0,0.019122915177793447,0.039129437675153415,0,0,0.02993163626220425,0,0.5382709281626482,0.03139645216262202,0.182780236043016,0,0,0.02444598287273218,0,0,0,0,0.663536125225573,0.7482508472599516
TCGA.ZP.A9CV.01,0.08925430634988221,0,0,0.10261416305955424,0,0.2363581687015524,0,0,0.055081433224317494,0,0.01387691281545292,0.0071173222133703445,0.040043053726465695,0,0.08620871104278638,0.28449807120664056,0,0.04039543407734233,0.03368744132679304,0,0,0.010864982255842356,0.532,0.00636020852081093,1.0894797942718526
TCGA.DD.AACY.01,0.1238152951608359,0,0,0.09764507693919039,0,0.2606346999115309,0,0.0507422182169195,0.02952075061136279,0,0,0.0800793064485215,0.006339195150150849,0.039402548167541664,0.03637653264933292,0.2720854941033078,0,0,0.0033588826413058167,0,0,0,0.894,-0.0262,1.1144789946627571
TCGA.XR.A8TG.01,0.1323562312443096,0,0.049555828815570885,0,0,0.23091120807950188,0,0.04731768071484246,0.05980327689559366,0,0,0.061222908720250616,0.013971110161760095,0.09711433074773296,0.09606393143499138,0.1415717676473525,0,0,0,0.05997377186361569,0,0.01013795367447829,0.532,0.00627210701197164,1.0860752752495137
