Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.44.4112.01,0.017992479920449122,0,0.08839313681194257,0.06009889505001036,0,0.2160174664954956,0,0.043398136420528984,0,0,0.026147048743442987,0,0.0314615887363707,0.006992190568437149,0.015132663299121623,0.31118992099723586,0.02881136389190356,0.09870383563897615,0.040329954189008616,0,0,0.015331319237076717,0.219,0.06809074312044001,1.05102883159881
TCGA.18.3417.01,0,0.008980905795497526,0.089466586234278,0.00618874049475825,0,0.08573507525805102,0.009523578729862793,0.04214031257947117,0.00970423574294026,0.005102005555122755,0.04376684166300898,0,0,0.39533624560401703,0.03333323748496989,0.22341030308602106,0,0,0,0.04731193177200121,0,0,0.011,0.23453570845736224,1.0219565256426955
TCGA.22.4613.01,0.030667759896019928,0,0.09870013062072694,0,0,0.1204863165695952,0,0.1305163806640249,0,0,0.018153694378046543,0.019394817733849483,0,0.11290887253264074,0.09760989342313808,0.30267322124528817,0.006070360131681082,0,0.06281855280498892,0,0,0,0,0.40948069708019186,0.9117923274806674
TCGA.90.7769.01,0.05968934468905404,0,0.0767666795245663,0.011988935826989032,0,0.049445668718938775,0,0.11014120228261545,0.024310903945126874,0,0.03625568912295603,0,0.03558722343191329,0.22668295135110392,0,0.14756099350869079,0,0.1734127791643159,0,0.03525730815780105,0,0.012900320275928558,0.294,0.05511232167658249,1.071166339007465
TCGA.62.8397.01,0.04214790599954241,0,0.09630121822695775,0.021817190887800285,0,0.15653794110095667,0,0.003057344341465343,0.00899588736851128,0,0,0.036908974316739944,0.11574120323899285,0.0506131673620256,0,0.1738844632002281,0.12924229125705572,0.01739404550181797,0.14735836719790615,0,0,0,0.064,0.1376832277842615,1.0180194670307434
TCGA.77.A5G1.01,0.05535788375686639,0.017350143878586508,0.011111852582956659,0.02322087444989126,0,0.09919937215584324,0,0.05519495604435194,0.024513903859929905,0,0.009794009868032626,0.001885678862879178,0,0.416196451452399,0.05818334184982958,0.19158050636795926,0,0,0.03641102487047444,0,0,0,0.004,0.2890815524970304,0.9930101422114159
TCGA.86.8278.01,0,0.010726395186630603,0.07248305922577335,0.044267853449170586,0,0.1497387975738943,0,0.04965673661357106,0.0248146514120812,0,0.06098050180001989,0.007173162885671286,0.019347708528271595,0.07691962079814711,0.0721683130705519,0.19975079199930038,0.05975945722326478,0.042292421356383454,0.10915551948135095,0,0,0.0008,0.14,0.09406086147003427,1.0383632524573354
TCGA.94.7033.01,0,0,0.1841197319860062,0,0,0,0,0.19781273239335503,0.002713367661441075,0,0.03590063522470369,0.03728715703880397,0.02141894837297441,0.12912671803315867,0.11387183707352905,0.04569879645726981,0,0.2140013854084227,0.01804869035033536,0,0,0,0.02,0.20257885874534545,1.0163538678893012
TCGA.77.A5G3.01,0.06486750520355011,0,0.06317884232086285,0.10653672596632555,0,0.11808217073306795,0.0016671252486952731,0.11905400811142222,0.016455842682934343,0,0.00912596381663443,0.02298782830539549,0,0.1855524101218933,0.07318530469335476,0.18842909984494538,0.0009,0,0.029957415597286506,0,0,0,0.072,0.13076673760901406,1.0360364725502802
TCGA.05.4430.01,0.018023447356564668,0,0.017026838219686702,0.022202826596950203,0,0.11011858499756495,0.00990705860154963,0.03885416403130625,0.033483707966154956,0,0.013556923631154518,0.0008,0,0.17078682625133973,0.03143305097036582,0.362162209602899,0.04422587133269555,0.04788441504737725,0.05827345314456956,0,0,0.021234661622830355,0,0.3996415644941378,0.919376161361884
TCGA.44.6778.01,0.03016652868453384,0.04688336412196529,0,0.03507640606623446,0,0.2113945192667658,0.02305848138357356,0.07064478428118552,0,0,0.012441023660583441,0,0,0.18969055202819743,0.07538520046293538,0.28653462397824153,0,0,0.01040633228096879,0,0,0.008318183784814909,0.001,0.34477191432768434,0.9461566287498947
TCGA.49.AARQ.01,0.012802061503532134,0,0.007661531384090697,0.12053850249389136,0,0.004255072607633825,0,0.2016267108590778,0.00109341335435117,0,0.005036132741128969,0.07674068992346741,0.03740346023449888,0.19585781255553383,0.13234135714855427,0.06796699572418738,0.004922811757184567,0,0.13175344771286773,0,0,0,0.017,0.21238282578457673,1.0091878026047627
TCGA.66.2766.01,0.07211426717512939,0,0.07894888341533568,0.06538547963523544,0,0.12889808630232438,0,0.05592869007858158,0,0,0.05076445376328276,0,0.004114192678555694,0.04662548666880849,0.09762970227507047,0.37820948189577513,0,0,0.021381276111900962,0,0,0,0.036,0.1735401561827382,1.0187055418258781
TCGA.37.4135.01,0.05885675808206962,0,0.056990066044156996,0.06723234005981557,0,0.06902757043321565,0.03275237996720737,0.08584357015235676,0,0,0.024415705513407646,0,0.013613460632863325,0.05068144780039291,0.13258444854802198,0.38987984466878545,0.0005,0,0.014092888863456004,0,0,0.0034860100315385004,0.022,0.19645049907227813,1.0150346653408033
