Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.61.1910.01,0,0.004289222514275649,0,0.014623477425134337,0,0.06735258439393264,0,0.08555712620530162,0.06796136965629473,0,0,0.07454526361894327,0.015248128427213967,0.21121342862149664,0.06090042228318569,0.2119550373168742,0,0.015157998860956026,0,0.17119594067639132,0,0,0.068,0.14156930740753104,1.0553512948088422
TCGA.61.1728.01,0,0.007154585258428233,0,0.034361339332304015,0,0.08386067888042222,0,0.04123210048938137,0.06670986328811385,0,0,0.027874163640916206,0,0.37627217277772723,0.01575188122289791,0.19806510336930142,0,0,0,0.14098220359601654,0,0.0077359081444910065,0.045,0.19261397148850515,1.0486293681792678
TCGA.31.1953.01,0,0.0008,0,0.03728873235607727,0,0.06964081192061422,0,0.04938722063428847,0.06909413114211131,0,0,0.1056992562394617,0.06919184583633359,0.17563067742796196,0.06475714232749961,0.295594871434725,0.04894850959081916,0,0,0.013939039556710123,0,0,0,0.48706448975988276,0.8725573376951552
TCGA.31.1951.01,0.045358913597055815,0,0,0.044762284495448106,0,0.17634694752850827,0,0.06866770756731955,0.04975549223633878,0,0.01727892929808629,0.03577761939200818,0.026521169323542655,0.07594502756225867,0.13884604177413945,0.21757550935990305,0,0.03954646387958079,0,0.0566716383459352,0,0.006946255639875126,0.032,0.2320663579471547,0.9991376192380375
TCGA.24.1552.01,0,0,0.0025393251829560924,0.04659953709874215,0,0.13392500708705066,0,0.0863422326174745,0.13354792094516757,0,0,0.04573444220797164,0.05835421774221295,0.3022774552370311,0.0057368230595689846,0.042120953549319155,0,0,0,0.13162777493842298,0.01119431033408221,0,0.149,0.08798148415522099,1.0753337264093483
TCGA.13.1477.01,0,0.0022238827014552055,0.010497584162045407,0.044344955743372445,0,0.2035595581398982,0,0.07605166172732256,0.07286853457120285,0,0,0.13449481518837472,0.0514257693050202,0.145677081690153,0.017877689083086703,0.15580798469494886,0,0.02713422376215551,0,0.053277305096977715,0.004758954133986718,0,0.348,0.036447927495589956,1.0895401814328531
TCGA.30.1862.01,0.0225503695354389,0.007907045209422855,0,0.08835082752415964,0,0.21165048269014536,0,0.06221593259581892,0.04522196440666826,0,0,0.07898677877461417,0.03291283876624414,0,0.06944584689693352,0.2425566899689047,0,0,0,0.1382012236316496,0,0,0.179,0.07697646580829678,1.0703345606389947
TCGA.29.1698.01,0.060199133286963115,0,0,0.04572554286040136,0,0.17546429452342138,0,0.11912515092609735,0.06555097675210825,0,0,0.07807667702920086,0.04905645482689554,0.027176348270044157,0.07613162230333244,0.24925797112324577,0,0,0,0.05242464687537738,0,0.0018111812229124665,0.153,0.08617034747499906,1.0574886895758628
TCGA.13.0924.01,0.030137352412094125,0.03786534970025789,0,0.11560690070701002,0,0.0942775905304766,0.01368558963588562,0.05826576000549741,0.04175368207753704,0.014723116475831487,0,0.10899325153884418,0.04730854290937055,0.03555025481476054,0.12097119989281256,0.13380598028860188,0,0,0,0.1437337988700673,0,0.0033216301409528678,0.015,0.29408653542600666,0.9762301065188106
TCGA.25.1326.01,0,0.002733336021715848,0,0.12093009587902329,0,0.05169960087495577,0,0.0592917189038024,0.07779665860058027,0,0,0.0822203285594535,0.026928646965843694,0.1630700865922514,0.09474595300553182,0.2802938877811391,0.003841547057013712,0,0,0.026963529291324836,0,0.00948461046736428,0.027,0.2474242363302684,0.9963474882714582
