Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.BR.A4PE.01,0.022581499734361233,0,0.0035343449922040503,0.015461825564353536,0,0.10567717311122919,0,0.04945346668900499,0.09010728160547049,0,0,0.03247214060826002,0,0.2498670861708585,0.11447748691292188,0.12513497464966405,0,0,0,0.18785984947994697,0,0.0033728704817251307,0.014,0.28459842461140594,0.9850189105272381
TCGA.CD.5803.01,0.020174073728152622,0.058101453241648206,0,0.211962765655536,0,0.20697456402449427,0.005842778751244597,0.041210815152032974,0.10132994113722438,0,0,0.07555857523398657,0.01280125841789819,0.01930126740148619,0.09340679344036346,0.12748401188610622,0.008001472088511255,0,0.017850229841315086,0,0,0,0.002,0.4913256207520595,0.8701688578927042
TCGA.BR.8059.01,0,0.015237437858551136,0.015038626757643876,0.05517474917704564,0,0.1252889954670646,0,0.047340474650584476,0.09110854311954317,0,0,0.040609446611496895,0.006662813591852652,0.1572587623965048,0.06374594087601514,0.18283738454318277,0,0,0,0.19917510495564736,0,0.0005,0.086,0.11951668421713069,1.0548370542821897
TCGA.D7.6520.01,0.001625844259874251,0.020031094670813196,0.00421290058387162,0.03444324698643216,0,0.14698353803467012,0,0.049664657100729766,0.15442215924941186,0,0.0004,0.037266674048579945,0.035931469673197054,0.06021265945255451,0.11927326671855104,0.249436888044,0,0.026505239906311946,0.05710796384094008,0.0024968807177327052,0,0,0.075,0.13132467690454575,1.0372720725776319
TCGA.VQ.A8PM.01,0.029239786297348618,0.07087774584474947,0.07827193131820667,0.06252295544464916,0,0.2304203721495384,0,0.10227346697063866,0.05216694445282845,0,0,0.07534711879629541,0,0.03515434158756552,0.029527793721367754,0.08867036344835968,0,0.027303134123320763,0.1182240458451315,0,0,0,0.065,0.14733811968781552,1.0258130401139316
TCGA.BR.6565.01,0.0013164014023798166,0.02403574473968246,0.0033195495254010918,0.16479948880015416,0,0.09683811881953859,0.08683069491192348,0.058090249752803726,0.06419448870828959,0,0.0010920557079197434,0.03251582995098579,0.010064595124390115,0.151616010704983,0.09548535372698817,0.18308623940531432,0.008496846098092153,0,0.010378728847644824,0.007839603773509028,0,0,0.024,0.2442465976225428,0.9899456231490903
TCGA.IN.7806.01,0.1005048919883342,0.06925998841123956,0.04887520879464897,0.03202321649227921,0,0.10371914418579982,0,0.09671516205060054,0.05393495773104145,0,0.002155677011144547,0.008688420589101152,0,0.21369994707222778,0.01898957658316764,0.2171317135518917,0,0,0.034302095538523425,0,0,0,0.291,0.043170633171753264,1.0720392496211555
TCGA.EQ.8122.01,0.04317058957765673,0,0,0.019030070823916355,0,0,0,0.035958438661246796,0.07579741832031543,0,0.04980331493676913,0,0.01066185683511692,0.32023392111981874,0.023284179959449102,0.2527392022712402,0,0.05029345247819362,0,0.06982310185315534,0,0.04920445316312166,0.095,0.11246453730505587,1.0767654893614291
TCGA.FP.8631.01,0.06784190590713948,0,0.0629660756129338,0.03892139527880186,0,0.10014514499209459,0,0.049469012096171466,0.07444023645869453,0,0,0.07510774711835226,0,0.03309097552055379,0.01855513804710498,0.16382069227125087,0,0.13793029146766225,0.1700593950143015,0,0,0.007651990214938637,0.234,0.05459761422538831,1.0531717195902104
TCGA.R5.A805.01,0,0,0,0.039477582691234164,0,0.13760796018995491,0,0,0.048434646306394415,0,0.0051207224690717635,0,0.07585192692801408,0.10715411673900038,0.012497053515875111,0.08399774479525168,0,0.07153250503827462,0,0.18405495607251254,0,0.2342707852544163,0.012,0.3047196069512304,0.9776585642508719
TCGA.VQ.A91W.01,0.0394417607370565,0,0.009077476847854614,0.020565954441705614,0,0.28168020777759323,0,0.0684641707613513,0.07044932652585253,0,0.02491633052233811,0,0,0.09157468534843224,0.03634674882675173,0.1907500013007595,0.01558897510086125,0,0,0.14829170580984355,0,0.002852655999599842,0.263,0.047761312698566524,1.0723625875363068
TCGA.BR.7958.01,0.016356404769853002,0,0.002159946555518487,0.2906023978638836,0,0,0.08271243895712228,0.07371698870419371,0.039343562132918106,0,0,0.1434445628992658,0.008465447026452704,0,0.1424820113220967,0.13764061116262036,0.015811626099860972,0.00926243149060765,0.005503117314808676,0.031147370176781562,0,0.0013510835240164107,0.002,0.4865189704082245,0.8755609066957164
TCGA.D7.6820.01,0.018542927736642737,0,0,0,0,0.10482962514276838,0,0.06848023198132779,0.1054713919430076,0,0,0.03414131305085479,0.010448210387327536,0.2528945209553575,0.0002,0.09753488025371639,0,0.045655174323053674,0,0.22060803498256712,0,0.04122974990935818,0.045,0.18064638057165114,1.0357702613619633
TCGA.HU.A4GJ.01,0.09322693358394755,0.2578184745435878,0,0.10351114381902025,0,0.20931529936024254,0,0.0860816649591216,0.07862759290380918,0,0,0.022971241934979653,0,0.0316020452868817,0.009631597581750913,0.06530601700630694,0,0.023090238216315662,0,0.01881775080403622,0,0,0.005,0.34703653587230165,0.9477643381713535
TCGA.RD.A8N9.01,0.058912142979579564,0,0.007315457826174436,0.13210736377610477,0,0.14802319476912373,0.0006,0.039070367840022276,0.07480690610615703,0,0,0.022367411544310996,0.0053492912835037395,0.04884077558949833,0.0676836994370935,0.18405317067900587,0.011795322045705584,0,0.19905744155206753,0,0,0,0.138,0.09067950469862351,1.0448821453086126
TCGA.BR.A4J8.01,0.019219239041940568,0.04994868574521946,0.02374401625581977,0.0662152137198627,0,0.1757651367727862,0,0.03760782871410663,0.062200595816956805,0,0,0.12514502760722196,0.00986781194328074,0.08545305518516719,0.09856833604850543,0.14431831614761503,0,0,0.10194673700151753,0,0,0,0.061,0.15966081832720516,1.025887557573732
TCGA.VQ.A8DV.01,0.033008779035228475,0,0.0407679394880453,0.1722678845637466,0,0.017340565256828398,0,0.011143725328410521,0.034126460835048014,0,0,0.03587721345811457,0.030263462481886053,0.18538318340016663,0.014762449236500805,0.09356933982484872,0,0.012397847466013674,0.19131841819716258,0.07962018012286586,0,0.048152551305133816,0.23,0.055765553430294774,1.0706893201267256
TCGA.R5.A7O7.01,0.00841431075325089,0.006426895367796044,0,0.06280861385369328,0,0.3662588090686323,0,0.02974017746367259,0.07711799701197955,0,0.06806641483484768,0,0.007259701200879521,0,0.03642307776797288,0.0032080842450592675,0,0.030214340860951233,0,0.2881682463813505,0,0.015893331189914296,0.024,0.24218880632804896,1.0149279610604245
TCGA.IN.AB1V.01,0.026472432002515724,0.14286036621508263,0.033298502868407076,0.1087374001101909,0,0.2646179967712126,0,0.08074949305226743,0.0836435178300042,0,0,0.10352742386006807,0.043188204955601495,0,0.017952656705831196,0.041736805615689335,0,0.029450037918558047,0.022334991206649057,0,0,0.0014301708879223133,0.334,0.034339424506176004,1.0992299713759033
TCGA.3M.AB46.01,0,0.003994112588271156,0,0.06391689394053755,0,0.17246382616230915,0,0.05041449462646395,0.18178085762061724,0,0,0,0.04260818341210696,0.2707788775945142,0.028211808238189036,0,0,0,0,0.17163749130798628,0.014193454509004456,0,0.205,0.06282832196633839,1.0838055175893324
TCGA.CG.4437.01,0.0722184026892012,0,0.0024158644747342907,0.11529377760783664,0,0.10424364206157327,0,0.09927976021098124,0.042471838988390964,0,0,0.07056027486460995,0.001924222691575899,0.07546732209829471,0.10098265675217405,0.21604777867070843,0,0,0.007371842113599694,0.05564352220427285,0,0.03607909457204676,0.025,0.235481531001486,0.9939476766002806
TCGA.HU.A4G6.01,0,0,0.06378014211593092,0.046755733500266794,0,0.1319429837439925,0,0.11868656352520308,0.08152098258306968,0,0,0.10052293122470805,0,0.0942114508624264,0.06228476651062949,0.2265722871111947,0.0047614946827696375,0.04380658532942034,0.00496025162192228,0.005644788344720551,0,0.014549038843745603,0.584,-0.0001,1.0917490074464244
TCGA.BR.7704.11,0.057274980293934845,0,0.0030027530762592866,0.16910559194372018,0,0.3146323201632702,0,0.024777387547138662,0.015592032414803563,0,0,0.022487909570381614,0.036989707057005966,0,0.01891429647310927,0.1180721406477396,0,0,0.0977183700238785,0.09454116907369359,0,0.02689134171506471,0.255,0.05078694059851685,1.079058984189053
TCGA.CD.A4MI.01,0.03872503786760964,0.0111748798294967,0,0.12175640916512667,0,0.1246625686327066,0.0009,0.07744878004916805,0.059815916253634006,0.02131665954417271,0,0.08509814936403591,0,0.049793165785085684,0.12096828699943901,0.22811232681064156,0.010635802958687001,0,0.04405875195121047,0,0,0.005542461988202601,0.004,0.41466453992033603,0.9103957372875401
TCGA.HU.A4GT.01,0.015119235490380741,0,0.015609320258214592,0.07768579459713047,0,0.1736158236935136,0.005206121424624962,0.05065829138255067,0.12649896718802098,0,0,0.053585444897275375,0,0.13444121470401657,0.06180460499937248,0.17577370756209945,0.0030423094141111603,0,0,0.10089987455039189,0,0.006059289838297077,0.175,0.07330705946017348,1.0656716064729792
TCGA.BR.4280.01,0.00456588427573846,0,0.01960133303418865,0.10206743152445058,0,0.18767809932155857,0.08330527505738546,0.047141639155743334,0.03305277017849228,0,0.02514599666622338,0.0099632931769034,0,0.06344159907648039,0.07495046148343158,0.20191576490656132,0.0021377678932869826,0,0,0.11449676697566769,0,0.030535917273887866,0.068,0.14389380896638135,1.0298097361693133
TCGA.FP.8211.01,0.008458199799750038,0.03336070418961502,0,0.1388596670070443,0,0.3095836156494657,0,0.06479210237887016,0.07406284137308418,0,0,0.12386352576797491,0.007724684656777841,0.0322603206992227,0.04116368254151274,0.09484421479846666,0,0.020429184088901833,0.022654108191541556,0.027943148857772437,0,0,0.063,0.1564569387831009,1.051823576981905
TCGA.3M.AB47.01,0.09690380625646224,0,0,0.08250305911734472,0,0.3795733459869436,0.0013423712794998455,0,0.07038235834113928,0,0.022631829179575874,0,0,0.04918460758809657,0.0374030736165038,0.19615203863452918,0,0.007984405580958987,0,0.055939104418946,0,0,0.075,0.1318171876095188,1.0422849737652697
