Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.A5.A2K7.01,0.0365785086682554,0,0.005345456309452356,0.026181621375230456,0,0.11390866318803775,0,0.03623643580033612,0.0005,0,0.014527712543803232,0.014614360368475717,0,0.276356531039444,0.012859073058065362,0.2408650163725432,0,0.0711840593999298,0,0.15086278759121313,0,0,0.16,0.0922524284548089,1.087421145538862
TCGA.FL.A1YU.11,0.12827550024638357,0,0,0.16851424435542695,0,0.0934256379101509,0,0.05328580875600875,0.13444661017251477,0,0.08304014139237954,0.08061153290437893,0.031673523180951284,0,0,0.09397716172359286,0,0.05667590154721907,0.07607393781099335,0,0,0,0.451,0.03200033794027911,1.1004214494072706
TCGA.DF.A2KU.01,0,0.016057727227407385,0,0.1208539700415553,0,0,0,0.04051906118260231,0.0835468329978057,0,0.022192964474693905,0.05421815323337534,0,0.32135848600263395,0.05067711822335813,0.23998941474867413,0.0019575588746784133,0,0.04862871299321545,0,0,0,0.001,0.4721241775638854,0.8821600954539895
TCGA.EO.A3AS.01,0.11418027897438517,0,0.3259722490751733,0.019387514671466603,0,0.07169592334597076,0,0.014301962383734103,0.013046792434942892,0,0.00574501443821628,0.002489674371594864,0.0013465087590102678,0.07533224045006219,0.06753945744603028,0.12555628562622617,0,0.09133769740096159,0.07206840062222551,0,0,0,0.238,0.06609376943603255,1.0379808438765967
TCGA.EY.A549.01,0.028274744373317066,0,0.0958151064642259,0.08966106012331893,0,0.07723150983307472,0,0.22403378914976696,0.061243304101009734,0,0,0.044951673692305266,0.009207820869975613,0.16298544952224422,0.04775142749140342,0.14110213446651992,0,0.01774197991283815,0,0,0,0,0.254,0.06333126088725188,1.0651501647407753
TCGA.EO.A3B0.01,0.040040853095014005,0,0.04522766363700676,0.0894316198722336,0,0.010122672109843038,0,0.09756540269802758,0.05384107728095507,0,0.033265478308218716,0,0,0.4235444509074435,0.04165176346834286,0.1581783244480008,0,0,0.00713069417491406,0,0,0,0.002,0.36295815134101245,0.9489576728703074
TCGA.KJ.A3U4.01,0.08233369471372835,0,0.12207037988701162,0.08076775578713566,0,0.12079315132542172,0,0.11770851308265301,0.05419141538723786,0,0.04308019945616055,0,0.007848864564541976,0.04082115793858489,0.1821835109283197,0.07733021487866748,0,0.04545525345269061,0.02541588859784652,0,0,0,0.056,0.1476676685328843,1.0404443489622777
TCGA.EY.A2OQ.01,0.02288695446299895,0,0,0.10518915051612782,0,0.05063150684812225,0,0.01005849447823195,0.057775356553365645,0,0.03692705047353974,0.08067958489119538,0,0.40609980185706024,0.07593453574093853,0.09908782466643327,0,0,0.05472973951198622,0,0,0,0.324,0.05010167499164596,1.1160420795426715
TCGA.PG.A7D5.01,0,0.005043545269406669,0.039144169874304954,0.1547965055472238,0,0.09242200632677067,0,0.257922825674668,0.02135665857650194,0,0,0.025475197508848253,0.044483925832182344,0.1577566510118252,0.015135043300771527,0.0026845631257182492,0.0023757716832505864,0.013854187054782786,0.14985523268013962,0,0.017693716533605373,0,0.576,0.01547333546609707,1.090238627293855
TCGA.B5.A0JN.01,0.13313643605266204,0,0.10835020231632837,0.048972306537271,0,0.10937301883164523,0,0.14613619069855907,0.013837646199780613,0,0.06257817740903944,0.06397867405838971,0.008793597067928826,0.013279481160060306,0.0020832084554645637,0.14420996117007087,0,0.140986576497152,0.0042845235456479645,0,0,0,0.998,-0.0614,1.107074377253078
