Strain,MouseID,FieldID,NG2.CD31
WT,1,1,54.46939383
WT,1,2,84.2810294
WT,1,3,77.95453476
WT,1,4,68.28334732
WT,1,5,73.79836112
WT,2,1,69.5427627
WT,2,2,49.704598
WT,2,4,63.1497342
WT,2,5,58.46842174
WT,3,1,36.50251386
WT,3,2,41.80014561
WT,3,3,38.72861303
WT,3,4,59.8975016
WT,3,5,26.89010133
WT,4,1,52.32012513
WT,4,2,70.16566486
WT,4,3,74.61259187
WT,4,4,62.22898619
WT,4,5,63.14702309
CD4KO,1,1,15.27555029
CD4KO,1,2,35.18673356
CD4KO,1,3,29.90083905
CD4KO,1,4,19.48443123
CD4KO,1,5,20.75890498
CD4KO,2,1,48.85557062
CD4KO,2,2,22.49091766
CD4KO,2,3,21.0564554
CD4KO,2,4,16.89376443
CD4KO,2,5,11.27333774
CD4KO,3,1,31.03521727
CD4KO,3,2,16.50934247
CD4KO,3,3,12.24334889
CD4KO,3,4,25.05235445
CD4KO,3,5,37.02386246
CD4KO,4,1,20.07960333
CD4KO,4,2,26.6306966
CD4KO,4,3,32.50396654
CD4KO,4,4,21.76758947
CD4KO,4,5,23.48226913
CD8KO,1,1,45.44649906
CD8KO,1,2,38.53090601
CD8KO,1,3,26.57912788
CD8KO,1,4,58.44839691
CD8KO,1,5,43.82515703
CD8KO,2,1,59.32005041
CD8KO,2,2,49.0502953
CD8KO,2,3,54.51334578
CD8KO,2,4,46.37688071
CD8KO,2,5,38.4516129
CD8KO,3,1,44.77113986
CD8KO,3,2,34.97411069
CD8KO,3,3,24.50026943
CD8KO,3,4,77.85227337
CD8KO,3,5,42.83591223
CD8KO,4,1,61.54599697
CD8KO,4,2,32.1666779
CD8KO,4,3,26.28639512
CD8KO,4,4,65.89160254
CD8KO,4,5,41.56873951
TCRKO,1,1,20.25083284
TCRKO,1,2,20.28308597
TCRKO,1,3,30.12424424
TCRKO,1,4,28.86707227
TCRKO,1,5,29.70566605
TCRKO,2,1,8.560725697
TCRKO,2,2,9.890836917
TCRKO,2,3,20.35326919
TCRKO,2,4,30.79775836
TCRKO,2,5,15.80379383
TCRKO,3,1,23.80493729
TCRKO,3,2,22.88295577
TCRKO,3,3,17.9757097
TCRKO,3,4,31.23569391
TCRKO,3,5,13.31393305
TCRKO,4,1,11.63134246
TCRKO,4,2,29.81219791
TCRKO,4,3,29.23678772
TCRKO,4,4,25.0814527
TCRKO,4,5,15.90422597
