#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
angiogenesis,Gene Ontology,GO:0001525,27,383,1.62E-23,4.23E-20
blood vessel morphogenesis,Gene Ontology,GO:0048514,27,464,1.76E-21,2.30E-18
blood vessel development,Gene Ontology,GO:0001568,27,531,4.66E-20,4.05E-17
vasculature development,Gene Ontology,GO:0001944,27,557,1.48E-19,9.64E-17
cardiovascular system development,Gene Ontology,GO:0072358,27,832,2.00E-15,8.70E-13
circulatory system development,Gene Ontology,GO:0072359,27,832,2.00E-15,8.70E-13
anatomical structure formation involved in morphogenesis,Gene Ontology,GO:0048646,27,907,1.47E-14,5.47E-12
regulation of angiogenesis,Gene Ontology,GO:0045765,9,174,1.05E-07,3.42E-05
regulation of vasculature development,Gene Ontology,GO:1901342,9,191,2.23E-07,6.46E-05
anatomical structure morphogenesis,Gene Ontology,GO:0009653,27,2207,1.73E-06,0.000452106
positive regulation of angiogenesis,Gene Ontology,GO:0045766,6,100,6.35E-06,0.001507841
regulation of cell adhesion,Gene Ontology,GO:0030155,9,302,8.36E-06,0.001818256
regulation of anatomical structure morphogenesis,Gene Ontology,GO:0022603,12,687,5.26E-05,0.01056032
taxis,Gene Ontology,GO:0042330,11,634,0.000112466,0.016307514
chemotaxis,Gene Ontology,GO:0006935,11,634,0.000112466,0.016307514
positive regulation of intracellular protein transport,Gene Ontology,GO:0090316,5,120,0.000197243,0.025740232
monocyte differentiation,Gene Ontology,GO:0030224,3,25,0.000221208,0.02749297
axon guidance,Gene Ontology,GO:0007411,8,375,0.000248934,0.02824858
neuron projection guidance,Gene Ontology,GO:0097485,8,375,0.000248934,0.02824858
positive regulation of protein transport,Gene Ontology,GO:0051222,6,206,0.000300409,0.032669532
vascular endothelial growth factor receptor 2 binding,Gene Ontology,GO:0043184,2,5,0.00036185,0.036324206
regulation of protein import into nucleus,Gene Ontology,GO:0042306,5,144,0.000442851,0.03958357
regulation of multicellular organismal development,Gene Ontology,GO:2000026,15,1277,0.000479278,0.03958357
collagen type IV,Gene Ontology,GO:0005587,2,6,0.000481125,0.03958357
positive regulation of cell adhesion,Gene Ontology,GO:0045785,5,147,0.000484905,0.03958357
regulation of protein localization to nucleus,Gene Ontology,GO:1900180,5,150,0.000529893,0.040677073
sheet-forming collagen,Gene Ontology,GO:0030935,2,7,0.00061687,0.045379203
cell morphogenesis,Gene Ontology,GO:0000902,13,1041,0.000641541,0.045379203
cell-substrate adhesion,Gene Ontology,GO:0031589,6,239,0.000643307,0.045379203
patterning of blood vessels,Gene Ontology,GO:0001569,3,38,0.000691208,0.047475088
branching morphogenesis of an epithelial tube,Gene Ontology,GO:0048754,5,169,0.000891455,0.057781442
positive regulation of intracellular transport,Gene Ontology,GO:0032388,5,170,0.000914536,0.057781442
vascular endothelial growth factor receptor binding,Gene Ontology,GO:0005172,2,9,0.00093721,0.057781442
vascular endothelial growth factor receptor signaling pathway,Gene Ontology,GO:0048010,3,44,0.001031953,0.058089661
receptor complex,Gene Ontology,GO:0043235,6,265,0.001081818,0.058089661
regulation of developmental process,Gene Ontology,GO:0050793,17,1684,0.001092202,0.058089661
cellular component morphogenesis,Gene Ontology,GO:0032989,13,1108,0.001114902,0.058089661
regulation of nucleocytoplasmic transport,Gene Ontology,GO:0046822,5,179,0.00114276,0.058089661
positive regulation of cell growth,Gene Ontology,GO:0030307,4,104,0.001157342,0.058089661
neuron projection morphogenesis,Gene Ontology,GO:0048812,9,603,0.001290318,0.063542074
cell adhesion,Gene Ontology,GO:0007155,12,1005,0.001471299,0.068137783
biological adhesion,Gene Ontology,GO:0022610,12,1009,0.001519717,0.068137783
regulation of transcription from RNA polymerase I promoter,Gene Ontology,GO:0006356,2,12,0.001537776,0.068137783
